beer_beerid,counts as best beer,avg review_overall,avg review_aroma,avg review_appearance,avg review_taste,avg beer_abv,number of reviews,counts with top score,brewery_name,beer_style,beer_name
7971,1362,4.59002770083,4.61218836565,4.38860308666,4.63098535813,8.0,2527,1067,Russian River Brewing Company,American Double / Imperial IPA,Pliny The Elder
695,909,4.34218048183,4.15108207432,4.51286239281,4.32952225398,8.5,2449,591,Brouwerij Duvel Moortgat NV,Belgian Strong Pale Ale,Duvel
731,898,4.51641414141,4.29646464646,4.38106060606,4.42550505051,5.4,1980,695,Bayerische Staatsbrauerei Weihenstephan,Hefeweizen,Weihenstephaner Hefeweissbier
17112,882,4.37760949652,4.53315595579,4.24252967663,4.51841997544,10.0,2443,630,"Bell's Brewery, Inc.",American Double / Imperial IPA,Bell's Hopslam Ale
1093,854,4.33021635497,4.266593326,4.15419875321,4.31939860653,7.0,2727,554,"Bell's Brewery, Inc.",American IPA,Two Hearted Ale
11757,847,4.35465813675,4.41203518593,4.36445421831,4.50119952019,8.3,2501,507,Founders Brewing Company,American Double / Imperial Stout,Founders Breakfast Stout
2093,840,4.14548494983,4.21343873518,4.19215567042,4.32593493463,9.0,3289,396,Dogfish Head Brewery,American Double / Imperial IPA,90 Minute IPA
34,791,4.29802658075,4.23197744664,4.1939186468,4.39609343536,9.0,2483,492,Unibroue,Tripel,La Fin Du Monde
276,772,4.24584460765,3.91553923463,3.99516814843,4.11538461538,5.6,2587,416,Sierra Nevada Brewing Co.,American Pale Ale (APA),Sierra Nevada Pale Ale
412,765,4.17411575563,4.19855305466,4.37411575563,4.3421221865,9.0,3110,342,North Coast Brewing Co.,Russian Imperial Stout,Old Rasputin Russian Imperial Stout
19960,723,4.39689119171,4.56994818653,4.37642487047,4.62590673575,11.2,1930,518,Founders Brewing Company,American Double / Imperial Stout,Founders KBS (Kentucky Breakfast Stout)
645,707,4.33940092166,4.41866359447,4.34493087558,4.5435483871,11.3,2170,464,Brasserie de Rochefort,Quadrupel (Quad),Trappistes Rochefort 10
1708,690,4.32784296029,4.31814079422,4.36213898917,4.4869133574,10.0,2216,423,Brouwerij St. Bernardus NV,Quadrupel (Quad),St. Bernardus Abt 12
1904,680,4.1685561854,4.08219406469,4.22524174725,4.18989663221,6.8,2999,335,Sierra Nevada Brewing Co.,American IPA,Sierra Nevada Celebration Ale
88,675,4.25757575758,4.23873348873,4.13558663559,4.29681429681,6.9,2574,364,Stone Brewing Co.,American IPA,Stone IPA (India Pale Ale)
1545,667,4.6179245283,4.58333333333,4.45400943396,4.71855345912,10.2,1272,594,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Quadrupel (Quad),Trappist Westvleteren 12
15881,648,4.39585465711,4.37103377687,4.21212896622,4.41376663255,7.5,1954,462,Tröegs Brewing Company,American Amber / Red Ale,Tröegs Nugget Nectar
131,593,4.29908123791,4.24371373308,4.25362669246,4.42843326886,6.7,2068,374,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,Doppelbock,Ayinger Celebrator Doppelbock
1160,590,4.24420103093,4.28994845361,4.40378006873,4.45189003436,10.5,2328,369,Stone Brewing Co.,Russian Imperial Stout,Stone Imperial Russian Stout
4083,586,4.16154700222,4.34122871947,4.1789415248,4.35103626943,7.7,2702,275,Stone Brewing Co.,American Double / Imperial IPA,Stone Ruination IPA
2512,566,4.24863115978,4.19661523146,4.20905923345,4.37058237929,9.0,2009,307,Bières de Chimay S.A.,Belgian Strong Dark Ale,Chimay Grande Réserve (Blue)
571,566,4.24061264822,4.01828063241,4.25098814229,4.26679841897,5.0,2024,318,Samuel Smith Old Brewery (Tadcaster),Oatmeal Stout,Samuel Smith's Oatmeal Stout
6108,542,4.17226041245,3.99636069551,3.96623534169,4.11888394662,6.0,2473,249,Dogfish Head Brewery,American IPA,60 Minute IPA
92,533,4.07809030348,4.11917098446,4.29607698001,4.27868245744,7.2,2702,242,Stone Brewing Co.,American Strong Ale,Arrogant Bastard Ale
34420,530,4.45077903683,4.4433427762,4.59348441926,4.58817280453,11.0,1412,401,Deschutes Brewery,American Double / Imperial Stout,The Abyss
73,510,4.0684536996,3.97341603899,4.25077536553,4.09348692955,5.2,2257,243,Wells & Young's Ltd,Milk / Sweet Stout,Young's Double Chocolate Stout
1010,486,4.24194414608,3.9387755102,3.95273899033,4.12486573577,5.3,1862,326,Victory Brewing Company,German Pilsener,Prima Pils
224,467,4.23433385993,4.26935229068,4.1785150079,4.38836229595,8.2,1899,306,Weisses Bräuhaus G. Schneider & Sohn GmbH,Weizenbock,Schneider Aventinus
129,467,4.10031266285,4.18447107869,4.36451276707,4.15320479416,6.9,1919,282,Brasserie d'Orval S.A.,Belgian Pale Ale,Orval Trappist Ale
1013,466,4.09139126887,4.0707874337,4.30477356181,4.211750306,9.1,2451,259,Victory Brewing Company,Russian Imperial Stout,Storm King Stout
226,465,4.32972972973,4.17807807808,4.23603603604,4.36906906907,5.8,1665,285,Great Lakes Brewing Company,American Porter,Great Lakes Edmund Fitzgerald Porter
29619,465,4.43786982249,4.50480769231,4.24445266272,4.42418639053,7.0,1352,335,Ballast Point Brewing Company,American IPA,Sculpin India Pale Ale
1005,455,4.115,3.99565217391,4.09326086957,4.14369565217,6.7,2300,217,Victory Brewing Company,American IPA,HopDevil Ale
