beer_style,aroma mean,aroma median,aroma std,aroma max,appearance mean,appearance median,appearance std,appearance max,combo mean,combo median,combo std,combo max,num beers,mean abv
American Double / Imperial Stout,4.16060438693,4.0,0.570493858477,5.0,4.16356320025,4.0,0.515691902924,5.0,4.16208379359,4.25,0.446933033424,5.0,50696,10.6055300477
Russian Imperial Stout,4.07657058389,4.0,0.542297840019,5.0,4.21007021434,4.0,0.508618813364,5.0,4.14332039911,4.25,0.434801744307,5.0,54120,9.98684243037
Quadrupel (Quad),4.13249281132,4.0,0.544133992613,5.0,4.11792191993,4.0,0.514125069362,5.0,4.12520736563,4.25,0.448638728424,5.0,18084,10.4614932278
American Double / Imperial IPA,4.09777449452,4.0,0.568201845014,5.0,4.0788815468,4.0,0.46920095489,5.0,4.08832802066,4.0,0.430181504643,5.0,85958,9.37020692086
Gueuze,4.11769602131,4.0,0.56012000298,5.0,4.03487597803,4.0,0.500073834476,5.0,4.07628599967,4.25,0.450926718219,5.0,6007,5.59843934537
American Wild Ale,4.12675620996,4.0,0.565143268941,5.0,4.00545127571,4.0,0.501611589608,5.0,4.06610374283,4.0,0.442322300739,5.0,17794,7.71363377946
Eisbock,4.15677806985,4.0,0.528949725504,5.0,3.96451370635,4.0,0.496757534974,5.0,4.0606458881,4.0,0.412954978269,5.0,2663,11.3928522856
American Barleywine,4.01934807829,4.0,0.524654043539,5.0,4.03637588414,4.0,0.478667008278,5.0,4.02786198121,4.0,0.408576960983,5.0,26721,10.7036764762
Belgian IPA,3.97966631908,4.0,0.511232362187,5.0,4.0751985241,4.0,0.48100876869,5.0,4.02743242159,4.0,0.402155881201,5.0,12467,8.34908570962
Weizenbock,4.04467700807,4.0,0.519256569312,5.0,4.00929664258,4.0,0.510222411638,5.0,4.02698682533,4.0,0.427077400952,5.0,9412,8.13548156956
Flanders Red Ale,4.04404261705,4.0,0.570528307963,5.0,4.00180072029,4.0,0.478014050307,5.0,4.02292166867,4.0,0.432188517976,5.0,6664,6.0881898522
American Black Ale,3.93045605452,4.0,0.526463760212,5.0,4.11292154464,4.0,0.454750076925,5.0,4.02168879958,4.0,0.400679660182,5.0,11446,7.97398118279
Lambic - Unblended,4.11804308797,4.0,0.528374861768,5.0,3.91247755835,4.0,0.514582116539,5.0,4.01526032316,4.0,0.445719961828,5.0,1114,5.29991337825
American Strong Ale,3.97949151481,4.0,0.591888869572,5.0,4.02666103075,4.0,0.529702894235,5.0,4.00307627278,4.0,0.46805572098,5.0,31938,9.76773205742
Baltic Porter,3.94648569205,4.0,0.536403848794,5.0,4.03946572145,4.0,0.487322764987,5.0,3.99297570675,4.0,0.419806899626,5.0,11567,8.24765715286
Belgian Strong Dark Ale,3.97233044446,4.0,0.543925639787,5.0,4.00832206939,4.0,0.506121731145,5.0,3.99032625692,4.0,0.433470578258,5.0,37731,9.43158595125
