beer_beerid,brewery_id,brewery_name,beer_style,beer_name,beer_abv
403,112,North Coast Brewing Co.,American IPA,ACME California IPA,6.5
405,112,North Coast Brewing Co.,American Brown Ale,ACME California Brown Ale,5.6
406,112,North Coast Brewing Co.,American Pale Ale (APA),ACME California Pale Ale,5.0
407,112,North Coast Brewing Co.,American Pale Wheat Ale,Blue Star Great American Wheat Beer,4.5
408,112,North Coast Brewing Co.,Irish Dry Stout,Old #38 Stout,5.6
409,112,North Coast Brewing Co.,German Pilsener,Scrimshaw Pilsner,4.4
410,112,North Coast Brewing Co.,American Amber / Red Ale,Ruedrich's Red Seal Ale,5.5
411,112,North Coast Brewing Co.,Belgian Strong Pale Ale,Pranqster,7.6
412,112,North Coast Brewing Co.,Russian Imperial Stout,Old Rasputin Russian Imperial Stout,9.0
1867,112,North Coast Brewing Co.,Old Ale,Old Stock Ale,11.9
9022,112,North Coast Brewing Co.,Russian Imperial Stout,Millennium Release Old Rasputin Imperial Stout,8.9
25981,112,North Coast Brewing Co.,Saison / Farmhouse Ale,Silver Jubilee - 25th Anniversary Ale,7.3
26089,112,North Coast Brewing Co.,Dubbel,Cru D'or,8.0
26091,112,North Coast Brewing Co.,American Stout,Old Plowshare Stout,5.7
26725,112,North Coast Brewing Co.,Belgian Strong Pale Ale,Anniversary XVI,8.2
30282,112,North Coast Brewing Co.,Belgian Strong Dark Ale,Brother Thelonious,9.4
34782,112,North Coast Brewing Co.,Russian Imperial Stout,Old Rasputin X Anniversary Barrel Aged Stout,11.7
37112,112,North Coast Brewing Co.,Saison / Farmhouse Ale,Le Merle,7.9
37113,112,North Coast Brewing Co.,Old Ale,Old Stock Cellar Reserve (Aged In Bourbon Barrels),13.16
37114,112,North Coast Brewing Co.,Old Ale,Old Stock Cellar Reserve (Aged In Brandy Barrels),14.7
46376,112,North Coast Brewing Co.,Russian Imperial Stout,Old Rasputin XI,11.6
50646,112,North Coast Brewing Co.,American Strong Ale,Twentieth Anniversary Ale,12.5
50752,112,North Coast Brewing Co.,Russian Imperial Stout,Old Rasputin XII,11.2
71265,112,North Coast Brewing Co.,Belgian Strong Pale Ale,Grand Cru,12.9
75978,112,North Coast Brewing Co.,Russian Imperial Stout,Old Rasputin XIV Anniversary,11.5
726,262,Shmaltz Brewing Company,American Amber / Red Ale,He'Brew Genesis Ale,5.6
12694,262,Shmaltz Brewing Company,American Brown Ale,He'Brew Messiah Bold,5.6
20561,262,Shmaltz Brewing Company,American Porter,He'Brew Miraculous Jewbelation (8),8.0
25467,262,Shmaltz Brewing Company,American Brown Ale,He'Brew Jewbelation 5766 (9),9.0
30969,262,Shmaltz Brewing Company,Fruit / Vegetable Beer,He'Brew Genesis 10:10,10.0
30970,262,Shmaltz Brewing Company,American Double / Imperial IPA,He'Brew Bittersweet Lenny's R.I.P.A.,10.0
33499,262,Shmaltz Brewing Company,American Brown Ale,He'Brew Monumental Jewbelation (10),10.0
35741,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Origin Pomegranate Ale,8.0
37142,262,Shmaltz Brewing Company,American Amber / Red Lager,Coney Island Lager,5.5
39043,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Jewbelation 11,11.0
40157,262,Shmaltz Brewing Company,American Double / Imperial IPA,He'Brew Bittersweet Lenny's R.I.P.A. On Rye,10.0
42380,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Rejewvenator (Year Of The Fig) 2008,7.8
43120,262,Shmaltz Brewing Company,Herbed / Spiced Beer,Coney Island Albino Python,6.0
43149,262,Shmaltz Brewing Company,American Pale Lager,Coney Island Sword Swallower,6.8
43353,262,Shmaltz Brewing Company,Doppelbock,Coney Island Human Blockhead,10.0
43442,262,Shmaltz Brewing Company,American Amber / Red Lager,Coney Island Freaktoberfest,6.66
45522,262,Shmaltz Brewing Company,American Brown Ale,He'Brew Jewbelation 12,12.0
50172,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Rejewvenator (Year Of The Date) 2009,7.8
50743,262,Shmaltz Brewing Company,German Pilsener,Coney Island Mermaid Pilsener,5.0
52283,262,Shmaltz Brewing Company,Doppelbock,Coney Island Barrel-Aged Human Blockhead,10.0
53470,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Jewbelation Bar Mitzvah (13),13.0
56288,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Jewbelation Bar Mitzvah (13) Barrel-Aged On Rye,13.0
58693,262,Shmaltz Brewing Company,Doppelbock,He'Brew Rejewvenator (Year Of The Grape) 2010,8.2
62788,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Jewbelation Fourteen,14.0
62790,262,Shmaltz Brewing Company,American Strong Ale,Coney Island Geektoberfest,8.5
63227,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Jewbelation Vertical (Rye Whiskey Barrel Aged Blend),10.5
65294,262,Shmaltz Brewing Company,American Double / Imperial IPA,He'Brew Bittersweet Lenny's R.I.P.A. - Cedar & Simcoe,10.0
69010,262,Shmaltz Brewing Company,American Brown Ale,Reunion: A Beer For Hope 2011,7.3
69721,262,Shmaltz Brewing Company,American IPA,He'Brew Hop Manna Test Batch #1,6.8
72646,262,Shmaltz Brewing Company,American IPA,He'Brew Hop Manna Test Batch #2,6.8
73599,262,Shmaltz Brewing Company,American Barleywine,He'Brew Genesis 15:15,13.4
76115,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Jewbelation Vertical (Sazerac Bourbon Barrel Aged),10.5
76144,262,Shmaltz Brewing Company,American Strong Ale,He'Brew Jewbelation Fifteen,15.0
76230,262,Shmaltz Brewing Company,American IPA,He'Brew Hop Manna Test Batch #3,6.8
76295,262,Shmaltz Brewing Company,American Pale Ale (APA),He'Brew Genesis Dry-Hopped Session Ale,5.2
5474,2097,Kuhnhenn Brewing Company,American Pale Ale (APA),Kuhnhenn Loonie Kuhnie Pale Ale (DUPLICATE),5.6
7908,2097,Kuhnhenn Brewing Company,American IPA,Kuhnhenn American IPA,6.5
7909,2097,Kuhnhenn Brewing Company,American Porter,Kuhnhenn Penetration Porter,5.5
7910,2097,Kuhnhenn Brewing Company,Belgian IPA,Kuhnhenn Simcoe Silly,9.0
7911,2097,Kuhnhenn Brewing Company,German Pilsener,Kuhnhenn Pilsener,5.5
7919,2097,Kuhnhenn Brewing Company,Wheatwine,Kuhnhenn Wheat Wine,11.0
8388,2097,Kuhnhenn Brewing Company,English Barleywine,Kuhnhenn Bourbon Barrel Barley Wine,14.5
8885,2097,Kuhnhenn Brewing Company,English India Pale Ale (IPA),Kuhnhenn English India Pale Ale,6.0
9661,2097,Kuhnhenn Brewing Company,Russian Imperial Stout,Kuhnhenn Russian Imperial Stout,12.5
9739,2097,Kuhnhenn Brewing Company,Scottish Gruit / Ancient Herbed Ale,Kuhnhenn Heather Ale,4.75
11784,2097,Kuhnhenn Brewing Company,Eisbock,Kuhnhenn Raspberry Eisbock,13.5
12148,2097,Kuhnhenn Brewing Company,Witbier,Kuhnhenn Tangerine Wit,5.5
12704,2097,Kuhnhenn Brewing Company,Oatmeal Stout,Kuhnhenn Oatmeal Stout,6.1
12844,2097,Kuhnhenn Brewing Company,Braggot,Kuhnhenn Braggot,13.0
13855,2097,Kuhnhenn Brewing Company,English Brown Ale,Kuhnhenn Nut Brown Ale,5.6
13856,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Balls Deep,8.0
13857,2097,Kuhnhenn Brewing Company,Pumpkin Ale,Kuhnhenn All Hallows Ale,6.5
13867,2097,Kuhnhenn Brewing Company,Märzen / Oktoberfest,Kuhnhenn Oktoberfest,5.6
14437,2097,Kuhnhenn Brewing Company,American Wild Ale,Kuhnhenn Play In The Hay (Cherry),8.5
15092,2097,Kuhnhenn Brewing Company,Eisbock,Kuhnhenn Winter Wonder Lager,13.0
15650,2097,Kuhnhenn Brewing Company,American Pale Ale (APA),Kuhnhenn Loonie Kuhnie Pale Ale,5.6
16093,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Imperial Cherry Stout,12.0
16094,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Raspberry Panty Dropper,4.5
16357,2097,Kuhnhenn Brewing Company,Tripel,Kuhnhenn Diablo Belgian Trippel,9.5
16358,2097,Kuhnhenn Brewing Company,American Double / Imperial IPA,Kuhnhenn American Extreme IPA,7.2
16387,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Lime Panty Dropper,4.5
17038,2097,Kuhnhenn Brewing Company,Scotch Ale / Wee Heavy,Kuhnhenn A Few Schillings Too Many,12.5
17658,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Devil's Horn,8.5
17799,2097,Kuhnhenn Brewing Company,Hefeweizen,Kuhnhenn Hefeweiss,5.0
18023,2097,Kuhnhenn Brewing Company,Smoked Beer,Kuhnhenn Coffee Rauch,5.0
18328,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn B-Rad's Banana Stout,6.0
18331,2097,Kuhnhenn Brewing Company,American IPA,Kuhnhenn Red IPA,5.5
18375,2097,Kuhnhenn Brewing Company,Herbed / Spiced Beer,Kuhnhenn Breakfast Sausage Ale,5.8
18755,2097,Kuhnhenn Brewing Company,Belgian Strong Dark Ale,Kuhnhenn Dave's Dark Strong Ale,8.9
18850,2097,Kuhnhenn Brewing Company,Old Ale,Kuhnhenn Fourth Dementia (4D),13.5
18973,2097,Kuhnhenn Brewing Company,American Stout,Kuhnhenn Crème Brûlée Java Stout,5.8
18974,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Blueberry Pancake Ale,5.8
18976,2097,Kuhnhenn Brewing Company,Altbier,Kuhnhenn Alt,5.0
19739,2097,Kuhnhenn Brewing Company,American Stout,Kuhnhenn Stout,5.5
19879,2097,Kuhnhenn Brewing Company,Saison / Farmhouse Ale,Kuhnhenn Saison,6.0
19942,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Peach Apricot Panty Dropper,4.5
19943,2097,Kuhnhenn Brewing Company,Belgian Pale Ale,Kuhnhenn Belgian Amber,5.5
20663,2097,Kuhnhenn Brewing Company,Doppelbock,Kuhnhenn Bock With Bolz,11.0
20713,2097,Kuhnhenn Brewing Company,Kölsch,Kuhnhenn Brothers Gold,5.0
20783,2097,Kuhnhenn Brewing Company,Belgian Strong Pale Ale,Kuhnhenn Grand Cru,9.3
20921,2097,Kuhnhenn Brewing Company,American Double / Imperial Stout,Kuhnhenn American Imperial Stout,13.5
21104,2097,Kuhnhenn Brewing Company,Czech Pilsener,Kuhnhenn Czech / Bohemian Pilsner,4.8
21188,2097,Kuhnhenn Brewing Company,American Pale Lager,Kuhnhenn Dutch Lager,4.5
21293,2097,Kuhnhenn Brewing Company,Bock,Kuhnhenn Metry's Winter Lager,6.5
21313,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Cherry Panty Dropper,4.5
21587,2097,Kuhnhenn Brewing Company,American Amber / Red Ale,Kuhnhenn Red Run Red Ale,5.9
21695,2097,Kuhnhenn Brewing Company,Belgian Strong Dark Ale,Kuhnhenn Dark Abbey,12.5
21701,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Apprentice X,5.5
21780,2097,Kuhnhenn Brewing Company,Altbier,Kuhnhenn Sticke Alt,6.0
22093,2097,Kuhnhenn Brewing Company,Eisbock,Kuhnhenn Eisbock,13.0
22397,2097,Kuhnhenn Brewing Company,Cream Ale,Kuhnhenn Nitro Cream Ale,4.8
22398,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Strawberry Panty Dropper,4.8
22556,2097,Kuhnhenn Brewing Company,Belgian Strong Dark Ale,Kuhnhenn Belgian Strong,9.5
22800,2097,Kuhnhenn Brewing Company,Irish Dry Stout,Kuhnhenn Dry Stout,3.5
22801,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Loonie Kuhnies Kriek,8.0
23094,2097,Kuhnhenn Brewing Company,Dunkelweizen,Kuhnhenn Iron Monger Dunkel,6.1
23582,2097,Kuhnhenn Brewing Company,Maibock / Helles Bock,Kuhnhenn Maibock,7.5
24285,2097,Kuhnhenn Brewing Company,Belgian Strong Dark Ale,Kuhnhenn Nine,9.0
25877,2097,Kuhnhenn Brewing Company,American Adjunct Lager,Kuhnhenn Classic American,4.8
26720,2097,Kuhnhenn Brewing Company,Bock,Kuhnhenn Rauch Bock,7.0
27178,2097,Kuhnhenn Brewing Company,Pumpkin Ale,Kuhnhenn Natural Pumpkin Ale,6.5
27375,2097,Kuhnhenn Brewing Company,American Double / Imperial Pilsner,Kuhnhenn Gonzo American Pilsner,4.9
27390,2097,Kuhnhenn Brewing Company,American Amber / Red Ale,Kuhnhenn Anneliese Ale,5.8
28389,2097,Kuhnhenn Brewing Company,Belgian Strong Dark Ale,Kuhnhenn Bruin Schuim,8.0
30067,2097,Kuhnhenn Brewing Company,Vienna Lager,Kuhnhenn Vienna Lager,6.2
30249,2097,Kuhnhenn Brewing Company,Doppelbock,Kuhnhenn Dark Heathen Triple Bock,13.5
31610,2097,Kuhnhenn Brewing Company,Braggot,Kuhnhenn Chocolate Braggot,14.5
34313,2097,Kuhnhenn Brewing Company,Old Ale,Kuhnhenn Bourbon Barrel Fourth Dementia,13.5
34588,2097,Kuhnhenn Brewing Company,Winter Warmer,Kuhnhenn Kuhnie Christmas,5.9
35403,2097,Kuhnhenn Brewing Company,Dubbel,Kuhnhenn Nine Syrah Cask Aged,10.5
36239,2097,Kuhnhenn Brewing Company,American Amber / Red Ale,Kuhnhenn Apricot Panty Dropper,4.5
36988,2097,Kuhnhenn Brewing Company,American Double / Imperial IPA,Kuhnhenn DRIPA (Double Rice IPA),9.5
37798,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Tenacious Cassis,15.0
38420,2097,Kuhnhenn Brewing Company,Herbed / Spiced Beer,Kuhnhenn Gingerlicious,6.5
38429,2097,Kuhnhenn Brewing Company,Russian Imperial Stout,Kuhnhenn Road Rash Imperial Stout,12.5
40181,2097,Kuhnhenn Brewing Company,Belgian Strong Dark Ale,Kuhnhenn Prometheus,10.2
40228,2097,Kuhnhenn Brewing Company,American Barleywine,Kuhnhenn American Barley Wine,11.5
41653,2097,Kuhnhenn Brewing Company,Belgian IPA,Kuhnhenn Aldebaran,9.5
42687,2097,Kuhnhenn Brewing Company,Witbier,Kuhnhenn Michigan Wit,5.0
45079,2097,Kuhnhenn Brewing Company,Altbier,Kuhnhenn Double Secret Probation Altbier (Double Sticke Alt),7.75
46848,2097,Kuhnhenn Brewing Company,American Double / Imperial IPA,Kuhnhenn Extreme IPA,12.0
47043,2097,Kuhnhenn Brewing Company,American Dark Wheat Ale,Kuhnhenn Wizard Sleeve,8.2
47203,2097,Kuhnhenn Brewing Company,Doppelbock,Kuhnhenn Rauch Double Bock,8.25
47700,2097,Kuhnhenn Brewing Company,Old Ale,Kuhnhenn Fifth Dementia,15.0
49898,2097,Kuhnhenn Brewing Company,American Double / Imperial IPA,Kuhnhenn Confusion DIPA,10.0
50651,2097,Kuhnhenn Brewing Company,Belgian Pale Ale,Kuhnhenn Snrub,5.5
51039,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Blueberry Panty Dropper,6.0
52550,2097,Kuhnhenn Brewing Company,American Amber / Red Ale,Kuhnhenn Michigan Malted,7.2
54464,2097,Kuhnhenn Brewing Company,Schwarzbier,Kuhnhenn Schwarz Bock,7.0
54916,2097,Kuhnhenn Brewing Company,English Dark Mild Ale,Kuhnhenn Wild Child,3.25
54918,2097,Kuhnhenn Brewing Company,American Barleywine,Kuhnhenn Bonicci Barley Wine,12.0
54919,2097,Kuhnhenn Brewing Company,Foreign / Export Stout,Kuhnhenn Foreign Export Stout,7.0
54993,2097,Kuhnhenn Brewing Company,American Double / Imperial Stout,Kuhnhenn Imperial Crème Brûlée Java Stout,8.0
55047,2097,Kuhnhenn Brewing Company,Pumpkin Ale,Kuhnhenn Pumpkin Braggot,16.0
55199,2097,Kuhnhenn Brewing Company,Tripel,Kuhnhenn Caramel Apple Trippel,9.0
55372,2097,Kuhnhenn Brewing Company,American Wild Ale,Kuhnhenn Play In The Hay,8.5
55469,2097,Kuhnhenn Brewing Company,Weizenbock,Kuhnhenn Weiss Teufel (White Devil),8.0
56731,2097,Kuhnhenn Brewing Company,Flanders Oud Bruin,Kuhnhenn Cherry Olde Brune,12.0
57638,2097,Kuhnhenn Brewing Company,Belgian IPA,Kuhnhenn Belgian IPA,5.7
60568,2097,Kuhnhenn Brewing Company,American Brown Ale,Kuhnhenn E.T.'s Reese's Pieces,6.2
62415,2097,Kuhnhenn Brewing Company,Gueuze,Kuhnhenn Gueuze,5.0
